model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
Gemma 3 27B,Quantitative Finance,46.51,86,0,0,0.0,0.0,0.0,-46.51,PROVEN_MISMATCH
Mistral-Small-3.1-24B,All,49.0,2200,11,835,0.5,38.45454545454545,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Computer Science,40.13,743,3,180,0.4037685060565276,24.629878869448184,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Physics,60.95,379,5,197,1.3192612137203166,53.29815303430079,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Statistics,45.08,367,1,110,0.2724795640326976,30.245231607629428,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Mathematics,45.71,245,0,106,0.0,43.265306122448976,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Electrical Engineering and Systems Science,50.78,129,0,68,0.0,52.713178294573645,,,UNSCORED_BOUND
Mistral-Small-3.1-24B,Economics,63.5,137,2,62,1.4598540145985401,46.715328467153284,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Quantitative Biology,64.91,114,0,71,0.0,62.280701754385966,,,PROVEN_MISMATCH
Mistral-Small-3.1-24B,Quantitative Finance,52.33,86,0,41,0.0,47.674418604651166,,,PROVEN_MISMATCH
Qwen3-VL-4B,All,64.91,2200,119,1772,5.409090909090909,85.95454545454545,,,UNSCORED_BOUND
